id,tournament,date,home_team,home_goals,away_goals,away_team,win_conditions,home_stadium
1,Friendly,1872-11-30,Scotland,0,0,England,,True
2,Friendly,1873-03-08,England,4,2,Scotland,,True
3,Friendly,1874-03-07,Scotland,2,1,England,,True
4,Friendly,1875-03-06,England,2,2,Scotland,,True
5,Friendly,1876-03-04,Scotland,3,0,England,,True
6,Friendly,1876-03-25,Scotland,4,0,Wales,,True
7,Friendly,1877-03-03,England,1,3,Scotland,,True
8,Friendly,1877-03-05,Wales,0,2,Scotland,,True
9,Friendly,1878-03-02,Scotland,7,2,England,,True
10,Friendly,1878-03-23,Scotland,9,0,Wales,,True
11,Friendly,1879-01-18,England,2,1,Wales,,True
12,Friendly,1879-04-05,England,5,4,Scotland,,True
13,Friendly,1879-04-07,Wales,0,3,Scotland,,True
14,Friendly,1880-03-13,Scotland,5,4,England,,True
15,Friendly,1880-03-15,Wales,2,3,England,,True
16,Friendly,1880-03-27,Scotland,5,1,Wales,,True
17,Friendly,1881-02-26,England,0,1,Wales,,True
18,Friendly,1881-03-12,England,1,6,Scotland,,True
19,Friendly,1881-03-14,Wales,1,5,Scotland,,True
20,Friendly,1882-02-18,Northern Ireland,0,13,England,,True
21,Friendly,1882-02-25,Wales,7,1,Northern Ireland,,True
22,Friendly,1882-03-11,Scotland,5,1,England,,True
23,Friendly,1882-03-13,Wales,5,3,England,,True
24,Friendly,1882-03-25,Scotland,5,0,Wales,,True
25,Friendly,1883-02-03,England,5,0,Wales,,True
26,Friendly,1883-02-24,England,7,0,Northern Ireland,,True
27,Friendly,1883-03-10,England,2,3,Scotland,,True
28,Friendly,1883-03-12,Wales,0,3,Scotland,,True
29,Friendly,1883-03-17,Northern Ireland,1,1,Wales,,True
30,British Championship,1884-02-09,Wales,6,0,Northern Ireland,,True
31,British Championship,1884-02-23,Northern Ireland,1,8,England,,True
32,British Championship,1884-03-15,Scotland,1,0,England,,True
33,British Championship,1884-03-17,Wales,0,4,England,,True
34,British Championship,1884-03-29,Scotland,4,1,Wales,,True
35,British Championship,1885-02-28,England,4,0,Northern Ireland,,True
36,British Championship,1885-03-14,England,1,1,Wales,,True
37,British Championship,1885-03-21,England,1,1,Scotland,,True
38,British Championship,1885-03-23,Wales,1,8,Scotland,,True
39,British Championship,1885-04-11,Northern Ireland,2,8,Wales,,True
40,Friendly,1885-11-28,United States,0,1,Canada,,True
41,British Championship,1886-02-27,Wales,5,0,Northern Ireland,,True
42,British Championship,1886-03-13,Northern Ireland,1,6,England,,True
43,British Championship,1886-03-27,Scotland,1,1,England,,True
44,British Championship,1886-03-29,Wales,1,3,England,,True
45,British Championship,1886-04-10,Scotland,4,1,Wales,,True
46,Friendly,1886-11-25,United States,3,2,Canada,,True
47,British Championship,1887-02-05,England,7,0,Northern Ireland,,True
48,British Championship,1887-02-26,England,4,0,Wales,,True
49,British Championship,1887-03-12,Northern Ireland,4,1,Wales,,True
50,British Championship,1887-03-19,England,2,3,Scotland,,True
51,British Championship,1887-03-21,Wales,0,2,Scotland,,True
52,British Championship,1888-02-04,England,5,1,Wales,,True
53,British Championship,1888-03-03,Wales,11,0,Northern Ireland,,True
54,British Championship,1888-03-10,Scotland,5,1,Wales,,True
55,British Championship,1888-03-17,Scotland,0,5,England,,True
56,British Championship,1888-04-07,Northern Ireland,1,5,England,,True
57,Friendly,1888-09-19,Scotland,4,0,Canada,,True
58,British Championship,1889-02-23,England,4,1,Wales,,True
59,British Championship,1889-03-02,England,6,1,Northern Ireland,,True
60,British Championship,1889-04-13,England,2,3,Scotland,,True
61,British Championship,1889-04-15,Wales,0,0,Scotland,,True
62,British Championship,1889-04-27,Northern Ireland,1,3,Wales,,True
63,British Championship,1890-02-08,Wales,5,2,Northern Ireland,,False
64,British Championship,1890-03-15,Northern Ireland,1,9,England,,True
65,British Championship,1890-03-15,Wales,1,3,England,,True
66,British Championship,1890-03-22,Scotland,5,0,Wales,,True
67,British Championship,1890-04-05,Scotland,1,1,England,,True
68,British Championship,1891-02-07,Northern Ireland,7,2,Wales,,True
69,British Championship,1891-03-07,England,4,1,Wales,,True
70,British Championship,1891-03-07,England,6,1,Northern Ireland,,True
71,British Championship,1891-03-21,Wales,3,4,Scotland,,True
72,British Championship,1891-04-06,England,2,1,Scotland,,True
73,British Championship,1892-02-27,Wales,1,1,Northern Ireland,,True
74,British Championship,1892-03-05,Northern Ireland,0,2,England,,True
75,British Championship,1892-03-05,Wales,0,2,England,,True
76,British Championship,1892-03-26,Scotland,6,1,Wales,,True
77,British Championship,1892-04-02,Scotland,1,4,England,,True
78,British Championship,1893-02-25,England,6,1,Northern Ireland,,True
79,British Championship,1893-03-13,England,6,0,Wales,,True
80,British Championship,1893-03-18,Wales,0,8,Scotland,,True
81,British Championship,1893-04-01,England,5,2,Scotland,,True
82,British Championship,1894-02-24,Wales,4,1,Northern Ireland,,True
83,British Championship,1894-03-03,Northern Ireland,2,2,England,,True
84,British Championship,1894-03-12,Wales,1,5,England,,True
85,British Championship,1894-03-24,Scotland,5,2,Wales,,True
86,British Championship,1894-04-07,Scotland,2,2,England,,True
87,British Championship,1895-03-09,England,9,0,Northern Ireland,,True
88,British Championship,1895-03-16,Northern Ireland,2,2,Wales,,True
89,British Championship,1895-03-18,England,1,1,Wales,,True
90,British Championship,1895-03-23,Wales,2,2,Scotland,,True
91,British Championship,1895-04-06,England,3,0,Scotland,,True
92,British Championship,1896-02-29,Wales,6,1,Northern Ireland,,True
93,British Championship,1896-03-07,Northern Ireland,0,2,England,,True
94,British Championship,1896-03-16,Wales,1,9,England,,True
95,British Championship,1896-03-21,Scotland,4,0,Wales,,True
96,British Championship,1896-04-04,Scotland,2,1,England,,True
97,British Championship,1897-02-20,England,6,0,Northern Ireland,,True
98,British Championship,1897-03-06,Northern Ireland,4,3,Wales,,True
99,British Championship,1897-03-20,Wales,2,2,Scotland,,True
100,British Championship,1897-03-29,England,4,0,Wales,,True
101,British Championship,1897-04-03,England,1,2,Scotland,,True
102,British Championship,1898-02-19,Wales,0,1,Northern Ireland,,True
103,British Championship,1898-03-05,Northern Ireland,2,3,England,,True
104,British Championship,1898-03-19,Scotland,5,2,Wales,,True
105,British Championship,1898-03-28,Wales,0,3,England,,True
106,British Championship,1898-04-02,Scotland,1,3,England,,True
107,British Championship,1899-02-18,England,13,2,Northern Ireland,,True
108,British Championship,1899-03-04,Northern Ireland,1,0,Wales,,True
109,British Championship,1899-03-18,Wales,0,6,Scotland,,True
110,British Championship,1899-03-20,England,4,0,Wales,,True
111,British Championship,1899-04-08,England,2,1,Scotland,,True
112,British Championship,1900-02-03,Scotland,5,2,Wales,,True
113,British Championship,1900-02-24,Wales,2,0,Northern Ireland,,True
114,British Championship,1900-03-17,Northern Ireland,0,2,England,,True
115,British Championship,1900-03-26,Wales,1,1,England,,True
116,British Championship,1900-04-07,Scotland,4,1,England,,True
